标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
E,患者权利包括,平等享有医疗的权利,获得自己所患疾病真实情况,拒绝治疗的权利,监督医疗过程的权利,以上都是,,,
D,不属于医患之间非技术关系的是,经济关系,法律关系,道德关系,同事关系,价值关系,,,
C,医患关系模式正确的是,主动-合作型，相互-指导型，共同参与型,主动-配合型，指导-合作型，共同参与型,主动-被动型，指导-合作型，共同参与型,主动-被动型，共同参与型，父权主义型,主动-被动型，互相-合作型，平等参与型,,,
E,患者手足厥寒，腰腿疼痛，口不渴，舌淡苔白，脉沉细。治宜首选的是,桂枝汤倍桂枝,桂枝汤去芍药,桂枝汤倍芍药,桂枝汤倍芍药，加饴糖,桂枝汤去生姜，倍大枣，加当归、通草、细辛,,,
B,患者头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干。治宜首选的方剂是,止嗽散,玉女煎,川芎茶调散,清胃散,防风通圣散,,,
E,患者牙痛牵引头疼，面颊发热，口气热臭，舌红苔黄，脉滑数。治宜首选的方剂是,黄连解毒汤,左金丸,导赤散,白虎汤,清胃散,,,
C,患者气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数。治宜首选的方剂是,龙胆泻肝汤,左金丸,泻白散,导赤散,苇茎汤,,,
B,"患者女，70岁。COPD病史多年，每年冬季发作，査体呈桶状胸，双肺叩诊呈过清音,心浊音界缩小，呼吸音减弱，肺功能检查显示79%FEV1%≥50%，COPD严重程度分级是",1级,2级,3级,4级,5级,,,
A,男性，65岁，高血压病史14年，今晨起床突然发现右侧肢体瘫痪、感觉障碍伴有失语，经检查诊断为动脉血栓性脑梗死，其最可能的梗死部位是,左侧大脑中动脉,右侧大脑中动脉,左侧大脑前动脉,右侧大脑前动脉,椎-基底动脉,,,
E,中年男性，既往有肺结核病史，近1个月咳嗽、咳痰、痰中带血，伴发热、消瘦就诊，为排除肺癌最有鉴别意义的是,原发病史,全身中毒症状,咳嗽、咳痰、咯血症状,血沉增快,痰液检查,,,
B,女性，54岁，腹部B超检查发现肝占位性病变，查肝功能正常。最有助于诊断或排除原发性肝癌的是,7-GT,AFP,AST,ALT,LPH,,,
D,"女性，32岁，因双侧腰背酸痛，尿频，尿急，尿痛7天就诊，体温39℃，双肾叩击痛（+）。尿检：蛋白（+），脓细胞（+++）,红细胞（+），最可能的诊断是",急性肾炎,急性膀胱炎,肾结核,急性肾盂肾炎,慢性肾盂肾炎,,,
B,女性，19岁。发热7天，2天来两面颊部出现对称性、水肿性红斑，指端及甲周有红斑。血常规：血红蛋白90g/L，白细胞3.4×109/L，尿常规：蛋白（+++），管型0～2个/HP，ANA（+），首选的治疗是,血浆置换,泼尼松,氯喹,环磷酰胺,阿司匹林,,,
E,"男性，37岁，确诊为急粒细胞白血病，近2周出现发热，坐位站立时黑矇、头晕、极度乏力，急査血常规血红蛋白47g/L,纠正贫血快速有效的方法是",补充铁剂,输注全血,口服铁剂,应用促红细胞生成素,输用浓缩红细胞,,,
B,女性，29岁，孕5月，确诊为甲亢，最适当的治疗是,甲状腺次全切除,最小有效剂量硫脲类药物治疗,放射性碘治疗,普萘洛尔,甲巯咪唑,,,
E,男性，38岁。甲亢复发。査体：轻度突眼，甲状腺弥漫性肿大，心率120次/分。实验室检查：FT3，FT4，TSH4，AST中度升高，血WBC3.8×109/L。适宜的治疗措施是,抗甲状腺药物治疗,复方碘溶液,甲状腺手术治疗,抗甲状腺药物+糖皮质激素,放射性131I治疗,,,
E,女性，58岁。甲状腺I度肿大，反应迟钝，厌食，腹泻。实验室检查:FT3↑，TT4正常，TSH↓，甲状腺摄131I率正常。诊断是,亚急性甲状腺炎,亚临床型甲亢,T3型甲亢,甲状腺危象,淡漠型甲亢,,,
D,患者因怕热、多汗、心悸、甲状腺肿大等诊断为甲亢，心电图检查为心律失常，最可能出现的心律失常是,室性早搏,交界性早搏,阵发性室上性心动过速,房颤,房室传导阻滞,,,
D,患者因怕热、多汗、心悸、甲状腺肿大等诊断为甲亢，心电图检查为心律失常，在以下检查中最可能见到异常的是,心理测试,CT,MRI,EEG,头颅平片,,,
A,二陈汤中乌梅的配伍意义是,收敛肺气,安蛔止痛,生津止渴,涩精止遗,固冲止血,,,
B,乌梅丸中乌梅的配伍意义是,收敛肺气,安蛔止痛,生津止渴,涩精止遗,固冲止血,,,
B,主治阳虚水泛证的首选方剂是,猪苓汤,真武汤,实脾散,五苓散,苓桂术甘汤,,,
C,主治脾肾阳虚，水气内停之阴水的首选方剂是,猪苓汤,真武汤,实脾散,五苓散,苓桂术甘汤,,,
A,四逆散的功用是,透邪解郁，疏肝理脾,寒热平调，消痞散结,温阳健脾，行气利水,清胆利湿，和胃化痰,肝疏解郁，养血健脾,,,
E,逍遥散的功用是,透邪解郁，疏肝理脾,寒热平调，消痞散结,温阳健脾，行气利水,清胆利湿，和胃化痰,肝疏解郁，养血健脾,,,
A,大黄牡丹汤的功用是,泻热破瘀，散结消肿,攻下冷积，温补脾阳,温阳健脾，行气利水,清胆利湿，和胃化痰,峻下热结,,,
E,大承气汤的功用是,泻热破瘀，散结消肿,攻下冷积，温补脾阳,温阳健脾，行气利水,清胆利湿，和胃化痰,峻下热结,,,
E,左金丸的功用是,清营解毒，透热养阴,清泻肺热，止咳平喘,清热解毒，凉血散瘀,清肺化痰，逐瘀排脓,清泻肝火，降逆止呕,,,
D,苇茎汤的功用是,清营解毒，透热养阴,清泻肺热，止咳平喘,清热解毒，凉血散瘀,清肺化痰，逐瘀排脓,清泻肝火，降逆止呕,,,
D,属于旋覆代赭汤的组成药物的是,干姜、半夏,干姜、茯苓,肉桂、当归,人参、代赭石,柴胡、苏叶,,,
C,属于苏子降气汤的组成药物的是,干姜、半夏,干姜、茯苓,肉桂、当归,人参、代赭石,柴胡、苏叶,,,
C,肝炎病毒可诱发的血液病是,急性白血病,传染性单核细胞增多症,再生障碍性贫血,类白血病反应,特发性血小板减少性紫癜,,,
A,人类T淋巴细胞病毒Ⅰ型可诱发的血液病是,急性白血病,传染性单核细胞增多症,再生障碍性贫血,类白血病反应,特发性血小板减少性紫癜,,,
A,心梗起病2小时内升高的是,肌红蛋白,肌钙蛋白,肌酸激酶同工酶,肌酸激酶,α-酮戊二酸脱氢酶,,,
C,心梗起病后4小时内升高的是,肌红蛋白,肌钙蛋白,肌酸激酶同工酶,肌酸激酶,α-酮戊二酸脱氢酶,,,
D,慢性肾功能不全出现肾性贫血最合适的治疗药物是,口服碳酸钙,必需氨基酸疗法,补充1，25（OH）2D3,促红细胞生成素,血液透析治疗,,,
E,尿毒症患者伴高钾血症最有效降血钾疗法是,口服碳酸钙,必需氨基酸疗法,补充1，25（OH）2D3,促红细胞生成素,血液透析治疗,,,
C,Graves病的特点是,甲状腺呈弥漫性或结节性肿大，131I摄取率高但能够被T3所抑制，对TRH反应正常,心悸、出汗、怕热、粗大肌肉震颤，但测定甲状腺功能正常，无突眼,甲状腺肿大多呈弥漫性、对称性，较软，可伴震颤及杂音，有突眼，吸碘率增高伴高峰前移,有发热，短期内甲状腺肿大，触之坚硬而疼痛。白细胞正常或升高，血沉增高，摄131碘碘率下降,易疲劳、怕冷、体重增加、嗜睡，血清TSH增高，TT3、TT4降低,,,
D,亚急性甲状腺炎的特点是,甲状腺呈弥漫性或结节性肿大，131I摄取率高但能够被T3所抑制，对TRH反应正常,心悸、出汗、怕热、粗大肌肉震颤，但测定甲状腺功能正常，无突眼,甲状腺肿大多呈弥漫性、对称性，较软，可伴震颤及杂音，有突眼，吸碘率增高伴高峰前移,有发热，短期内甲状腺肿大，触之坚硬而疼痛。白细胞正常或升高，血沉增高，摄131碘碘率下降,易疲劳、怕冷、体重增加、嗜睡，血清TSH增高，TT3、TT4降低,,,
A,符合Ⅰ型呼吸衰竭的动脉血气标准是,PaO2为50mmHg，PaCO2为40mmHg,PaO2为50mmHg，PaCO2为60mmHg,PaO2为65mmHg，PaCO2为40mmHg,PaO2为70mmHg，PaCO2为40mmHg,PaO2为70mmHg，PaCO2为45mmHg,,,
B,符合Ⅱ型呼吸衰竭的动脉血气标准是,PaO2为50mmHg，PaCO2为40mmHg,PaO2为50mmHg，PaCO2为60mmHg,PaO2为65mmHg，PaCO2为40mmHg,PaO2为70mmHg，PaCO2为40mmHg,PaO2为70mmHg，PaCO2为45mmHg,,,
B,肠梗阻可见腹痛，并伴有,黄疸,呕吐,腹泻,血便,急性发热,,,
D,肠套叠可见腹痛，并伴有,黄疸,呕吐,腹泻,血便,急性发热,,,
B,类风湿性关节炎引起指关节变形的体征是,爪形手,梭形,匙状甲,杵状指（趾）,肢端肥大症,,,
D,支气管肺癌常出现的体征是,爪形手,梭形,匙状甲,杵状指（趾）,肢端肥大症,,,
D,上述各项，表现为腹痛伴黄疸的是,幽门梗阻,过敏性紫癜,急性心肌梗死,急性溶血,肾结石,,,
C,上述各项，表现为腹痛伴休克的是,幽门梗阻,过敏性紫癜,急性心肌梗死,急性溶血,肾结石,,,
C,咳嗽痰量大有分层现象的疾病是,慢性阻塞性肺气肿,慢性支气管炎,支气管扩张症,肺炎,急性肺水肿,,,
E,咳嗽咯粉红色泡沫样痰的疾病是,慢性阻塞性肺气肿,慢性支气管炎,支气管扩张症,肺炎,急性肺水肿,,,
A,慢性消耗性疾病患者的胸廓是,扁平胸,鸡胸,桶状胸,漏斗胸,胸廓局限变形,,,
C,慢性阻塞性肺气肿患者的胸廓是,扁平胸,鸡胸,桶状胸,漏斗胸,胸廓局限变形,,,
C,立位腹部平片，显示两侧膈下有半月形透亮气体影的疾病是,食管癌,肠梗阻,胃肠道穿孔,消化性溃疡,食管静脉曲张,,,
B,立位腹部平片，显示肠管扩张呈阶梯状气液平面影的疾病是,食管癌,肠梗阻,胃肠道穿孔,消化性溃疡,食管静脉曲张,,,
A,斑疹伤寒高热期的热型是,稽留热,弛张热,间歇热,回归热,波状热,,,
B,败血症的热型是,稽留热,弛张热,间歇热,回归热,波状热,,,
A,机械论医学模式的缺点是,忽视了生命的生物复杂性和社会复杂性,形式单一不具有统一观念,忽视了人与自然的协调统一,忽视了社会环境、个体行为、生活方式、心理因素等对人体健康和疾病的影响,忽视了心理变化对身体的影响,,,
D,生物医学模式的缺点是,忽视了生命的生物复杂性和社会复杂性,形式单一不具有统一观念,忽视了人与自然的协调统一,忽视了社会环境、个体行为、生活方式、心理因素等对人体健康和疾病的影响,忽视了心理变化对身体的影响,,,
D,属于体格检查的道德要求的是,安神定志,实事求是,心无旁骛,全面系统，认真细致,目的明确，诊治需要,,,
E,属于辅助检查的道德要求的是,安神定志,实事求是,心无旁骛,全面系统，认真细致,目的明确，诊治需要,,,
D,治疗咳血之燥热伤肺证，应首选,麦门冬汤,清燥救肺汤,沙参麦冬汤,桑杏汤,百合固金汤,,,
D,厥证的基本病机是,失血过多，气随血脱,气血凝滞，脉络瘀阻,气虚下陷，清阳不升,气机逆乱，升降乖戾,痰随气升，上蒙清窍,,,
B,下列不属于外感腰痛的致病病邪是,热,燥,风,寒,湿,,,
D,治疗胃痛饮食伤胃证的中医治法是,温胃散寒，行气止痛,疏肝解郁，理气止痛,清化湿热，理气和胃,消食导滞，和胃止痛,以上均非,,,
E,治疗呃逆气机郁滞证，应首选,竹叶石膏汤,橘皮竹茹汤,丁香散,益胃汤,五磨饮子,,,
B,治疗胃痛脾胃虚寒证，应首选,良附丸,黄芪建中汤,小建中汤,理中丸,附子理中丸,,,
D,气秘的治法是,通便止痛,益气润肠,润肠通便,顺气导滞,以上均非,,,
C,以下哪项是健忘的表现,神情呆滞,精神恍惚,善忘前事,告知不晓,智能减退,,,
D,鼓胀与下列哪些脏腑关系最为密切,肺、肝、肾,心、脾、肾,肺、脾、肾,肝、脾、肾,心、脾、肝,,,
A,内伤发热虚证的治疗原则不包括的是,清热,养血,滋阴,温阳,益气,,,
E,脾肾两虚型痴呆的治法是,补肾益髓，填精养神,健脾化浊，豁痰开窍,活血化瘀，开窍醒脑,益气养血，清心宣窍,补肾健脾，益气生精,,,
C,冷哮咳痰特点,臭脓痰,痰稠黄胶黏,痰少咯吐不爽，色白而多泡沫,痰如白沫量多,痰黄白相兼,,,
C,下列情况对胃痞和胸痹的鉴别诊断最具有价值者为,诱因,转归,病位,病程,起病,,,
E,下列哪个部位是胃痞的基本病位,肝胆,脾胃,肝脾,脾,胃,,,
D,咳嗽之风寒袭肺证，首选方剂是,荆防达表汤,沙参麦冬汤,桑菊饮,三拗汤合止嗽散,桑杏汤,,,
C,肺痈初期，首选治疗方剂是,沙参清肺汤,桔梗杏仁煎,银翘散,《千金》苇茎汤,加味桔梗汤,,,
D,下列各项，属淋证主要病理因素的是,瘀血,气滞,正虚,湿热,痰浊,,,
B,下列各项，不属于黄疸病因的是,病后续发,情志内伤,外感疫毒,饮食不节,劳倦,,,
E,胃痛脾胃虚寒证的疼痛特点为,胀痛,刀绞痛,刺痛,灼痛,隐痛,,,
B,治疗颤证阳气虚衰证，应首选的方剂是,人参养荣汤,地黄饮子,附子理中丸,龟鹿二仙膏,金匮肾气丸,,,
C,虚劳辨证中，首先要辨别的要点是,辨明有无因虚致实的表现,辨明原有疾病是否还继续存在,辨别五脏气血阴阳亏虚,辨本症与并发症,是否兼夹外邪,,,
A,下列各项，不符合痿证临床特征的是,肢体关节疼痛,可有肌肉萎缩,肢体筋脉弛缓,肢体软弱无力,肢体运动不利,,,
E,不属于消渴并发症的是,水肿,中风,夜盲,疮疖痈疽,肺胀,,,
C,下列各项，不属腹痛病理因素的是,食积,瘀血,风邪,气滞,火郁,,,
E,肝气犯胃型呕吐的特点是,清水,酸腐量多，气味难闻,苦水、黄水,浊痰涎沫,呕吐吞酸，嗳气频繁,,,
E,痴呆的病位在,肝,脾,心,肾,脑,,,
D,痴呆的基本病机为,以虚为本，虚实夹杂,气滞血瘀，痰浊内阻,阴精不足，气血亏虚,髓海不足，神机失用,脏腑亏虚，痰瘀内阻,,,
C,不寐的病位主要为,脾,肝,心,脑,肾,,,
A,不属心悸病理因素的是,寒凝,水饮,气滞,痰浊,血瘀,,,
C,呃逆之胃中寒冷证，若寒气较重，脘腹胀痛者，加,旋覆花、代赭石,莱菔子、制半夏、槟榔,吴茱萸、肉桂、乌药,枳壳、厚朴、陈皮,白术、茯苓、甘草,,,
E,下列各项，不属呕吐病因的是,内伤饮食,病后体虚,情志不调,外感六淫,先天禀赋不足,,,
D,胃痞痰湿中阻证的证机概要为,湿热内蕴，困阻脾胃，气机不利,饮食停滞，胃腑失和，气机壅塞,肝气犯胃，胃气郁滞,痰浊阻滞，脾失健运，气机不和,胃阴亏虚，胃失濡养，和降失司,,,
C,属于胃痞脾胃虚弱证主症的是,脘腹痞闷，或嘈杂不舒，恶心呕吐，口干不欲饮,脘腹痞塞不舒，胸膈满闷，头晕目眩，身重困倦,脘腹满闷，时轻时重，纳呆便溏，神疲乏力,脘腹痞闷，嘈杂，饥不欲食，恶心嗳气,脘腹痞闷，胸胁胀满，心烦易怒，善太息,,,
E,颈前喉结两旁结块肿大，按之较硬，胸闷，纳差，舌质暗紫，苔薄白，脉弦。所属证型为,阴虚火旺证,气郁痰阻证,肝火旺盛证,心肝阴虚证,痰结血瘀证,,,
C,十二经脉的命名主要是结合了哪几方面的内容,五行、手足、阴阳,手足、阴阳、五行,脏腑、手足、阴阳,脏腑、手足、五行,阴阳、五行、脏腑,,,
E,上肢内侧面，经脉从前到后正确分布顺序是,心包经、心经、肺经,肺经、大肠经、小肠经,大肠经、小肠经、心经,肺经、心经、心包经,肺经、心包经、心经,,,
D,治疗落枕的主穴是,天柱、肩井、阿是穴、肩贞,养老、后溪、合谷、阳池、风池,阿是穴、外关、合谷、肩井、内关,外劳宫、天柱、阿是穴、后溪、悬钟,后溪、外关、束骨、昆仑、合谷,,,
A,治疗遗尿伴夜梦多，除主穴外，应加,百会、神门,脾俞、内关,肾俞、内关,肾俞、肺俞,肺俞、足三里,,,
A,下列不属于足太阴经主治范围的是,肾病,脾胃病,妇科病,口舌病,前阴病,,,
B,用俞募配穴法治疗胃病，应选的穴位是,脾俞、中脘,胃俞、中脘,脾俞、胃俞,胃俞、太白,胃俞、足三里,,,
C,位于耳前的耳门、听宫、听会三穴，其所归属经脉分别是,胆经、三焦经、小肠经,三焦经、胆经、小肠经,三焦经、小肠经、胆经,胆经、小肠经、三焦经,小肠经、胆经、三焦经,,,
B,下列哪项属于表里经配穴,咳嗽取尺泽、鱼际,感冒取列缺、合谷,膝痛取阳陵泉、足三里,胃痛取中脘、内庭,痛经取地机、隐白,,,
D,下列穴位与关元相平的是,大赫,大横,外陵,水道,归来,,,
C,任脉之络的别称为,俞府,虚里,鸠尾,大包,天池,,,
A,足太阴脾经的五输穴不包括,地机,商丘,太白,隐白,大都,,,
C,下列哪项是脾经中用于治疗妇科疾病的常用穴位,大横,阴陵泉,地机,公孙,商丘,,,
