标准答案,题干,选项A,选项B,选项C,选项D,选项E
C,患者，女，72岁。咯痰清稀，喘息短气，自汗畏风，舌淡苔白，脉沉细。其证型是,饮停胸胁证,寒痰阻肺证,肺气虚证,风寒束表证,风寒犯肺证
C,外湿的证候表现，不包括的是,肢体困重、酸痛,皮肤湿痒,腹胀纳呆,病位偏重于体表,恶寒微热
E,思维的重要特征是,抽象性和创造性,深刻性和观念性,上升性和决策性,分析性和综合性,间接性和概括性
E,患者春节放鞭炮时受震，此后耳内即有鸣声不断，持续6月余，听力下降，舌质暗红，脉细涩。治疗应首选,清气化痰丸,银翘散,龙胆泻肝汤,耳聋左慈丸,通窍活血汤
D,前组鼻窦炎应重点检查的部位是(　　)。,上鼻甲,中鼻甲,下鼻甲,中鼻道,嗅裂
E,少阳病证属于,表里同病,表寒里热,表里俱热,肝胆热盛,半表半里
A,反映血小板的功能和数量的指标是,出血时间测定,血管性血友病因子抗原测定,血小板相关免疫球蛋白测定,凝血时间测定,血浆纤维蛋白肽测定
A,做鼻内窥镜检查时，应选用的药物是,1%地卡因液,复方薄荷油,3%双氧水,4%硼酸酒精,2%色甘酸钠液
C,心理咨询的基本手段不包括,宣泄,领悟,帮助选择和决定,强化自我控制,增强自信心
C,医师在执业活动中不享有的权利是,获得与本人执业活动相当的医疗设备基本条件,获取工资报酬和津贴,对患者进行无条件临床实验治疗,在注册的执业范围内进行疾病诊查和治疗,参加培训，接受继续医学教育
C,《中医药条例》的制定目的是,发展中医药事业，传承中医药精神,弘扬传统文化，保护中医药遗产,继承和发展中医药学，保障和促进中医药事业的发展，保护人体健康,继承和发展中医药传统文化，促进中医药事业的发展，保护人民身心健康,推动中医药事业的发展，保护中医药文化，保障人民健康
C,临床不会导致月经先期的是,气虚不摄,肝郁血热,营血亏损,阴虚火旺,阳盛血热
A,大头瘟的治疗方法是,清热解毒，疏风消肿,气营两清，解毒救阴,轻清芳化，清涤余湿,清营透气,和解少阳
A,过敏性紫癜患者皮肤、黏膜出血的基本病因是,血管壁功能异常,血小板功能异常,凝血功能障碍,血小板减少,血液中抗凝物增多
C,既能退虚热，又可治疗温病气分壮热烦渴的药物是,黄柏,玄参,知母,牡丹皮,地骨皮
B,完带汤主治病证的病机是,湿热下迫，清浊不分,脾虚肝郁，湿浊带下,肾虚不固，肝气郁结,湿热壅滞，宣化失常,肝肾两亏，肾气不固
E,患者，女，声音嘶哑多年，每因多讲话后症状加重，查双声带暗红，边缘增厚，闭合不全，并有干咳少痰，颧红，虚烦少寐，腰膝酸软，手足心热，舌红少苔，脉细数。若检查声带有较大息肉时，宜采用的治疗方法为：,雾化吸入,物理疗法,病因治疗,声带休息,手术切除
A,脓耳发病的外因是,风热外侵,肝经郁热,胆腑郁热,痰火郁结,肾元亏损
B,治疗气阴两亏之肺痿，宜用,玉液汤,炙甘草汤,麦门冬汤,养阴清肺汤,清燥救肺汤
B,鼻准所指的部位是,鼻背,鼻尖,鼻翼,鼻根,鼻前庭
A,仰卧位查体时，大量腹水的腹部外形是,蛙腹,舟状腹,下腹部局限性隆起,一侧腰部膨隆,腹部平坦
B,既能祛风湿，利关节，又能降压、解毒的药物是,独活,豨莶草,络石藤,忍冬藤,桑寄生
A,富有竞争性，很易引起不耐烦，有时间紧迫感，固执己见，有旺盛的精力和过度的敌意，称之为,A型行为类型,B型行为类型,C型行为类型,D型行为类型,E型行为类型
D,癌症病人听到癌症的诊断后，出现心理反应的顺序是,否认--怀疑期，愤怒--沮丧期，接受--适应期，休克--恐惧期,否认--怀疑期，休克--恐惧期，愤怒--沮丧期，接受--适应期,休克--恐惧期，愤怒--沮丧期，接受--适应期，否认--怀疑期,休克--恐惧期，否认--怀疑期，愤怒--沮丧期，接受--适应期,否认--怀疑期，愤怒--沮丧期，休克--恐惧期，接受--适应期
D,具有清热凉血，活血散瘀功效的药物是,生地黄,水牛角,玄参,牡丹皮,山楂
B,半夏厚朴汤证的病机是,阴虚火旺,痰凝气滞,气滞血瘀,肝气郁结,气血两虚
C,提出因势利导治则的是,《素问·咳论》,《素问·痹论》,《素问·阴阳应象大论》,《素问·生气通天论》,《素问·至真要大论》
E,生物－心理－社会医学模式认为,心身是统一的,心理对健康和疾病有能动作用,心理因素、社会因素和生物因素都影响人体健康和疾病的发生,在健康和疾病问题上应将人视为一个整体,以上都是
D,下列检测结果正常人不会出现的是,尿沉渣镜检RBC2/HP,尿沉渣镜检WBC4/HP,尿内偶见透明管型,尿胆红素定性试验阳性,尿胆原定性试验阳性
B,病室有烂苹果样气味，常提示为,水肿病晚期,消渴厥,失血重证,脏腑败坏,患瘟疫病
A,肛门在祖国医学中又称：,魄门,鬼门,阑门,幽门,以上均不对
B,"上述各项，属""热者寒之""治法具体运用的是",表寒证运用辛温解表的方药,里热证采用苦寒清里的方药,气血虚弱采用补气养血的方药,瘀血证采用活血化瘀的方药,里寒证运用辛热温里的方药
C,具有潜阳镇肝，宁心安神功效的药物是,石菖蒲,远志,龙骨,酸枣仁,合欢皮
C,头眩，心下逆满，气上冲胸者，宜用,真武汤,茵陈蒿汤,苓桂术甘汤,大承气汤,小柴胡汤
B,"风湿，身体疼烦，不能自转侧，不呕不渴，脉浮虚而涩,方用",桂枝加附子汤,桂枝附子汤,桂枝去芍药汤,防己黄芪汤,甘草附子汤
C,中医学认为，发病的重要条件是,正气不足,邪气亢盛,邪气,正气与邪气的斗争,正衰邪盛
E,大柴胡汤的组成是,小柴胡汤去人参，加大黄、枳实,小柴胡汤去甘草，加大黄、芍药,小柴胡汤去人参、甘草，加大黄、枳实,小柴胡汤去生姜、甘草，加大黄、枳实,小柴胡汤去人参、甘草，加大黄、芍药、枳实
B,湿温症见神识昏呆，发热身痛，四肢不暖，舌苔鲜红燥刺。其病机为,邪入气分,邪乘包络,邪入营分,邪入血分,湿热蕴毒
D,下列乙类传染病应按甲类传染病处理的是,流行性出血热,流行性乙型脑炎,肺炭疽,人感染高致病性禽流感,布氏杆菌病
C,阵发性睡眠性血红蛋白尿，可出现的尿液变化是,肉眼血尿,镜下血尿,酱油色尿,胆红素尿,乳糜尿
A,引起呼吸困难最常见的病因是,呼吸系统疾病,心血管疾病,中毒,血液病,神经精神因素
A,“血痹虚劳篇”中“脉大为劳”，其机理是,阴虚阳浮,阴虚火旺,阴竭阳脱,饮盛格阳,精气内损
D,有关医院感染的叙述，错误的是,洗手是预防医院感染的重要措施,滥用抗菌药物是医院感染的重要原因,有部分医院感染的发生与消毒隔离缺陷有关,所有医院感染是可以预防的,新生儿经产道获得的感染属医院感染
E,寒痰阻肺证不应包括的症状为,恶寒肢冷,咳嗽痰多,胸闷气喘,舌苔白滑,脉象弦数
A,急性肾盂肾炎可伴有,发热伴寒战,发热伴口角疱疹,发热伴肝脾肿大,发热伴出血,发热伴昏迷
C,独活寄生汤与当归拈痛汤的组成药物中均含有,甘草、白术,白术、防风,防风、当归,当归、桂枝,桂枝、茯苓
D,川芎茶调散与九味羌活汤的组成药物均有,白芍、白术,当归、白芍,柴胡、白术,羌活、防风,防风、甘草
C,患者心痛暴作，得温痛缓，心悸怔忡，舌淡，脉沉紧，应诊为,痰阻心脉证,瘀阻心脉证,寒凝心脉证,气滞心脉证,瘀阻脑络证
C,功能清虚热、除疳热的药是,知母,白薇,银柴胡,胡黄连,丹皮
A,气滞血瘀型钩肠痔：,六磨汤,少腹逐瘀汤,桃红四物汤,桂枝茯苓丸,丹参饮
B,治疗心肾阴亏血少之心悸失眠，首选的方剂是,朱砂安神丸,天王补心丹,酸枣仁汤,归脾汤,六味地黄丸
C,"季节中属于五行之，""土""的是",春,夏,长夏,秋,冬
C,饮停胸胁，症见胸胁饱满，咳嗽时牵引作痛。此属,痰饮,支饮,悬饮,溢饮,腹水
C,A型性格的人易患下列何种疾病,过敏性紫癜,支气管哮喘,冠心病,癌症,糖尿病
A,培养儿童自制力的关键时期是,2～3岁,5～7岁,学龄前期,学龄中期,学龄后期
E,下列哪项不是喘的症状特点,呼吸困难,张口抬肩,鼻翼扇动,呼吸急迫,喉间痰鸣
A,东北的地道药材是,人参,黄连,当归,枸杞,黄芪
C,高血钾常出现在肾综合征出血热的,发热期,低血压休克期,少尿期,多尿期,恢复期
A,痰液镜检发现枯什曼螺旋体常见于,支气管哮喘,肺癌,急性肺水肿,大叶性肺炎,支气管扩张
B,促进并维持人体性功能发育成熟的物质是,血液,天癸,津液,肾气,宗气
C,X线检查回盲部显示盲肠不规则挛缩，黏膜皱襞粗乱及多发性小龛影，应考虑为,回盲部溃疡型癌,克罗恩病,回盲部溃疡性结核,回肠阿米巴痢疾,过敏性结肠炎
D,治疗噤口痢，虚实皆可选用的药物是,白头翁,鸦胆子,秦皮,石菖蒲,赤石脂
C,半夏泻心汤证的治法是,和胃补中消痞,扶阳补中消痞,和中降逆消痞,和中泻热消痞,益气和中消痞
D,医学伦理原则不含,不伤害,有利,尊重,胆识,公正
D,咽喉色鲜红娇嫩、肿痛不甚者的原因为,肺胃积热,痰湿停滞,寒凝咽喉,阴虚火旺,胃中有热
E,具有补气养阴，清热生津功效的药物是,玄参,苦参,丹参,太子参,西洋参
C,影响四肢肌肉壮实的主要因素是,心主血脉,肺主气,脾主运化,肝藏血,肾藏精
D,影响传染病流行过程的因素是,病原体、人体和环境,病原体、感菌动物,传染源、传播途径、易感人群,社会因素、自然因素,病原体和环境
D,选择性蛋白尿的特点为,24小时尿蛋白少于150mg,运动后出现一过性蛋白尿,每日尿蛋白超过3.5g,仅有白蛋白滤过增多,少量的球蛋白
A,外感六淫致病，易袭阳位的邪气是,风邪,寒邪,暑邪,湿邪,燥邪
D,虚损病证表现虚候，应用的治法是,塞因塞用,从者反治,实则泻之,虚则补之,寒因寒用
C,五苓散的功用是,利水清热，渗湿养阴,益气清热，健脾利水,利水渗湿，温阳化气,利湿消肿，理气健脾,温阳利水，健脾益气
E,张某，男，36岁。通宵不能入睡已3年，午后仅睡片刻，舌干，面目淡白，脉细数而涩。其治法是,固冲摄血，益气健脾,调补心肾，涩精止遗,镇心安神，清热养血,滋阴清热，养血安神,养血安神，清热除烦
A,患者心烦口渴，口舌生疮，小便赤涩，尿道灼痛，舌尖红赤，苔黄脉数。此属,心火亢盛证,肝火上炎证,小肠实热证,膀胱湿热证,肝阳上亢证
B,舌体两侧出现青紫色斑点，多考虑,心的病变,肝的病变,肾的病变,脾的病变,肺的病变
C,治疗肾虚湿热所致的带下，宜选用的方剂是,小柴胡汤,逍遥散,易黄汤,完带汤,参苓白术散
C,月经淋漓不断，色红，伴头晕耳鸣，烦热，腰膝酸软，脉细数无力，最宜诊断为,肝阴虚证,血热证,肾阴虚证,心肾不交证,肝肾阴虚证
A,身热，昏愦不语，倦卧，汗多气短，脉细无力。首选方是,"生脉散合温病""三宝""",生脉散合清宫汤,生脉散合菖蒲郁金汤,生脉散合苏合香丸,生脉散合青蒿鳖甲汤
B,临床治疗素体阳盛患者，宜慎用温热药物，其理论依据是,因时制宜,因人制宜,因地制宜,用热远热,扶正祛邪
A,尿中出现大量管型，说明病变部位在,肾实质,输尿管,前列腺,膀胱,尿道
B,下列有关调胃承气汤证治法的论述，哪项是错误的,通便泻热,消滞除满,泻热和胃,润燥软坚,泻热去实
E,天王补心丹中敛心安神的药物是,丹参、五味子,茯苓、五味子,远志、五味子,人参、五味子,酸枣仁、五味子
D,痰火凝结之瘿瘤、瘰疬选用的最佳药物是,栀子,谷精草,青葙子,夏枯草,密蒙花
B,伤寒的病理特点是,全身小血管损害,全身单核－巨噬细胞系统增生性反应,回肠下段淋巴组织增生、坏死和溃疡,肠系膜淋巴结肿大及充血,肝、脾组织病变为主
D,"""发汗不解，……，急下之，宜大承气汤。""需补充的原文是",心烦腹满者,腹满而吐者,腹满而喘者,腹满痛者,腹胀满者
E,三物备急丸的组成药物是,大黄、附子、细辛,大黄、干姜、细辛,大黄、芒硝、附子,附子、干姜、人参,大黄、干姜、巴豆
D,厌食油腻厚味，伴胁肋胀痛灼热、身热不扬者属于,脾胃虚弱,湿盛困脾,食滞胃脘,肝胆湿热,妊娠恶阻
D,可息风止痉、平抑肝阳、祛风通络的药物是,全蝎,牛黄,蜈蚣,天麻,僵蚕
D,莲子的功效是,固精缩尿止带，涩肠止泻,固精止带，收敛止血，制酸止痛，收湿敛疮,清热燥湿，收敛止带，止泻止血,固精止带，补脾止泻，益肾养心,益肾固精，健脾止泻，除湿止带
C,心房颤动时，可出现的心电图改变是,P-P不等，P-R一致,P-P不等，P-R渐长,"无P波，代之以""F""波，R-R不等","无P波，代之以""F""波，F与R成比例",P-P相等，R-R相等，P-R不等
E,当归补血汤所治证的发热特点是,寒热往来,夜热早凉,身热不扬,憎寒壮热,肌热面赤
A,舌绛少苔而津润者，多属,瘀血内停,阴虚火旺,热入营血,湿热内阻,燥热内结
C,国家发展中医药的方针是,预防为主,防治结合、分类管理、依靠科学、依靠群众,中西医并重,继承与创新相结合,保持和发扬中医药特色和优势
B,三焦火毒热盛证宜选用,普济消毒饮,黄连解毒汤,导赤散,仙方活命饮,凉膈散
A,焦虑症的主要特征是,没有原因地担忧未来,无法抑制地想一个问题或重复一个动作,不能客观地看待客观事物，对事物的评价非黑即白，且在两端摇摆，伴有知情意的不统一,不遵守社会规范,情绪低落、自我评价低，主动意识下降
C,某医院年终对全院职工的基本情况做调查了解，其中有以下情况：医生甲因病休息1年多。医生乙因医院效益不好在家闲了不满2年。医生丙出去参与经营歌舞厅，未从事医疗工作2年多。医生丁承包医院的第二门诊部近3年，其余大多数时间仍在医院坚持工作。依据执业医师法，下列人员中，属于应当注销注册，收回医师执业证书的是,医生甲,医生乙,医生丙,医生丁,以上都不是
D,必然属于非责任伤害的是,有意伤害,无意伤害,可知伤害,意外伤害,可控伤害
C,肉桂入汤剂的常用剂量每次为,1～2g,3～15g,2～5g,0.5～1g,15～30g
C,医师可以有合理的个人利益属于,克己,利人,同情,正直,审慎
A,全国人民代表大会常委会颁布的是,卫生法规,卫生行政法规,地方卫生法规,基本法律,卫生规章
D,七情刺激，易导致肾气泄下的是,喜,怒,悲,恐,思
E,主治白喉的方剂是,杏苏散,百合固金汤,麦门冬汤,桑杏汤,养阴清肺汤
E,代脉的脉象特点是,缓而时止，止无定数,数而时止，止无定数,数而时止，止有定数,脉来迟缓，良久一至,脉迟时止，止有定数
A,麻黄具有的功效是,宣肺平喘,温通经脉,行气宽中,温中止呕,化湿和中
E,在我国法定传染病中，属于甲类传染病的是,人感染高致病性禽流感,艾滋病,传染性非典型肺炎,狂犬病,霍乱
E,"""发汗后，……，厚朴生姜半夏甘草人参汤主之。""需补充的原文是",心烦腹满者,腹满而吐者,腹满而喘者,腹满痛者,腹胀满者
E,医德教育的最高要求是,提高医德认识,培养医德情感,锻炼医德意志,树立医德信念,养成良好医德习惯
C,"清胃散中具有清热解毒作用，又寓""火郁发之""之意的药物是",黄连,丹皮,升麻,当归,生地
E,肛瘘挂线疗法的禁忌证：,肛门周围有皮肤病,瘘管仍有酿脓现象,严重肺结核患者,癌症患者,以上均是
D,面色㿠白，畏冷肢凉，腰膝下腹冷痛，全身浮肿，久泄不止，其证候是,脾气虚证,脾阳虚证,脾不统血证,脾肾阳虚证,脾阳虚证
C,具有燥湿止带，消肿排脓功效的药物是,羌活,防风,白芷,苍术,白果
B,具有止血不留瘀、化瘀不伤正之特点的药物为,白及,三七,茜草,藕节,蒲黄
C,典型的心肌梗死表现为,肺型P波,二尖瓣P波,坏死性Q波,F波,f波
C,流行性乙型脑炎常用的治疗是,抗生素治疗,抗病毒治疗,针对高热、抽搐、呼吸衰竭对症治疗,抗毒素治疗,补液治疗
B,竹叶石膏汤原方中麦冬与半夏的配伍比例是,1:01,2:01,3:01,4:01,7:01
A,复脉汤中用量最大的药物是,生地黄,炙甘草,大枣,阿胶,桂枝
C,与气陷病变形成密切相关的脏腑是,心,肺,脾,肝,肾
C,七情内伤，致病后易引起脾气郁结的因素是,过喜,过怒,过思,过悲,过恐
A,阳虚证的典型舌脉是,舌质淡胖，脉沉迟,舌红少津，脉细数,舌淡而润，脉虚细,舌红津干，脉疾数,舌质红赤，脉沉实
C,心脉痹阻证的常见原因，错误的是,痰阻,寒凝,热郁,瘀阻,气滞
A,"五脏来分阴阳，为""阳中之阳""的脏是",心,肺,脾,肝,肾
E,发热，汗出口渴，面赤耳聋，胸闷喘咳，痰中带血，脘痞腹胀，下利稀水，小便短赤，舌红，苔黄滑，脉滑数，证属,邪遏卫气证,邪阻膜原证,卫气同病证,暑湿郁阻少阳证,暑湿弥漫三焦证
B,具有杀虫止痒功效的药物是,茵陈,萹蓄,木通,薏苡仁,萆薢
D,以下血脂的检查指标，提示可能动脉粥样硬化的是,LDL-C↓,TG↓,Apo-A1↑,Apo-B↑,HDL-C↑
B,半夏内服的功效是,祛风痰，止痉，止痛，解毒散结,燥湿化痰，降逆止呕，消痞散结,燥湿化痰，祛风解痉，散结消肿,温肺化痰，利气，散结消肿,降气行水化痰，降逆止呕
A,蛤蚧的功效是,补肺益肾，纳气平喘，助阳益精,补肺气，助肾阳，养心脾,补肺气，定喘嗽，和脾胃,助肾阳，定喘嗽，补脾气,补肺气，助肾阳，滋肝阴
C,符合漏出液特点的是,混浊，可有絮状沉淀,比重大于1.018,细胞数低于500×10^6/L,黏蛋白定性试验阳性,放置后自凝
E,具有司眼睑开合的经脉是,冲脉,任脉,督脉,阴维脉、阳维脉,阴跷脉、阳跷脉
E,治疗夏月感冒，发热恶寒，头痛无汗，应选用的药物是,薄荷,藿香,佩兰,扁豆,香薷
A,乌头与附子同用的方剂是(   ),乌头赤石脂丸,乌头桂枝汤,大乌头煎,乌头汤,四逆汤
D,胆之募穴是,期门,章门,京门,日月,带脉
A,五味中能燥、能泄的是,苦,甘,辛,咸,酸
B,"心为""君主之官""的理论基础是",心主血脉,心主神明,心在五行属火,心开窍于舌,心在志为喜
C,桂枝去芍药加蜀漆龙骨牡蛎救逆汤应先煎以下何药(   ),牡蛎,龙骨,蜀漆,桂枝,甘草
E,以下不属于归来穴主治的是,月经不调,带下,阴挺,小腹痛，疝气,癫狂
D,患者王某，女性，45岁，阴道内有物脱出，劳累、咳嗽时加重，有下坠感，并伴有腰膝酸软，小便频数，舌淡，脉沉而细。治疗阴挺的经验穴为,百会,气海,维道,子宫,关元
C,舌底络脉青紫曲张主病是,脾胃湿热,血分热盛,气滞血瘀,痰浊内阻,水饮内停
A,甘草附子汤证属,风湿表里阳虚,风湿兼表阳虚,风湿兼表气虚,寒湿袭表，里阳已虚,风湿犯表，里阳已虚
C,头穴线中的额旁1线用于治疗的病证是(   ),功能失调性子宫出血、尿急,胃炎、胃及十二指肠溃疡,冠心病、心绞痛,小脑平衡失常,眼病、足癣
B,瘢痕灸的灸疮一般形成的时间是(   ),灸后3天左右,灸后7天左右,灸后10天左右,灸后15天左右,灸后30天左右
B,眼窝凹陷可由于,水肿,吐泻伤津,痰浊阻肺,肝郁化火,风热邪毒上攻
A,沉香入汤剂的常用剂量是,1.5～4.5g,2～5g,3～10g,10～15g,15～30g
D,归来位于(   ),脐中下1寸，距前正中线4寸,脐中下2寸，距前正中线2寸,脐中下3寸，距前正中线4寸,脐中下4寸，距前正中线2寸,脐中下5寸，距前正中线4寸
C,属于正治的是,热因热用,以通治通,热者寒之,用热远热,以补开塞
E,八会穴中髓会是,阳陵泉,环跳,委中,阴陵泉,悬钟
C,用于治疗痫病发作期，且宜点刺放血的是(   ),丰隆,水沟,十宣,腰奇,内关
D,"""渴欲饮水，口干舌燥""，治用",文蛤散,肾气丸,白虎桂枝汤,白虎加人参汤,己椒苈黄丸
B,下列不符合气胸体征的是,胸廓膨隆,气管移向患侧,语颤消失,叩诊呈鼓音,呼吸音减弱或消失
B,治疗外感温燥，津液受灼的最佳方剂是,杏苏散,桑杏汤,桑菊饮,养阴清肺汤,清燥救肺汤
D,大黄牡丹汤的功用是,攻下冷积，温补脾阳,润肠泄热，行气通便,温里散寒，通便止痛,泻热破瘀，散结消肿,泄热通便，补益气血
E,瞿麦具有的功效是,利水渗湿，健脾止泻,利尿通淋，渗湿止泻,化湿行气，温中止泻,清热解毒，燥湿止泻,利水通淋，通经活血
B,结脉的脉象是,脉来数而时一止，止无定数,脉来缓而时一止，止无定数,脉来一止，止有定数，良久方来,脉来急疾，一息七八至,脉形如豆，滑数有力
E,省级人民政府根据全国应急预案，结合本地实际情况，应,信息报告系统,检测与预警系统,预防控制体系,制定全国突发事件应急预案,制定行政区域应急预案
D,寒实结胸，无热证者，治宜,泻热逐水破结,逐水破结，峻药缓投,清热涤痰开结,温下寒实，涤痰开结,攻逐水饮
E,患者突然出现动作中断，手中物件落地，头部低垂，两目瞪视，呼之不应。治疗可配用的腧穴是(   ),行间、内庭,合谷、风池,脾俞、足三里,肾俞、三阴交,神门、神庭
A,下列符合房性早搏心电图表现的是,P'波提前出现，与窦性P波不同,代偿间期完全,QRS>0.12s,提前出现的QRS波群无提前出现的P'波,P'-R间期<0.12s
E,下列哪项不是躯体性腹痛的特点,疼痛定位准确,疼痛程度剧烈而持久,可有局部腹肌强直,咳嗽、体位变化可加重疼痛,常伴自主神经兴奋症状
D,患者张某，男，42岁。辗转难寐5年。平素急躁易怒，胸胁胀满，甚则眩晕头痛，舌红苔黄而干，脉弦数。除主穴外，还应选取,心俞、脾俞、内关、足三里,心俞、丘墟、内关、太溪,公孙、行间、内关、足三里,行间、侠溪、风池、太冲,胆俞、肾俞、内庭、曲池
E,患者，男，3岁，高热3天，突然惊痫抽搐，神志不清。下列各项，不属于羚羊角主治病证的是,肝风内动，惊痫抽搐,肝阳上亢，头晕目眩,温热病壮热神昏，热毒发斑,肝火上炎，目赤头痛,口舌生疮，咽喉肿痛
E,下列各项中，叙述错误的是,所出为井,所溜为荥,所入为合,所行为经,所灌为输
C,肺结核干酪性肺炎可见,黄色脓性痰,黄绿色或翠绿色痰,微黄奶酪样痰,痰黏稠牵拉成丝,水样痰，内含粉皮样物
A,口淡乏味常见的证是,脾胃气虚,脾胃湿热,肝胃不和,肝火上炎,胆郁痰扰
A,热厥的特点是(    ),热深厥深，热微厥微,厥深寒甚，厥微寒轻,阳虚厥深，阳旺厥微,阴盛厥深，阳微厥微,气血逆乱，阳气涣散
A,患者王某，男性，46岁，在工地干活，突然昏倒，口吐涎沫，两目上视，四肢抽搐，发作短暂后即清醒，自觉头晕，乏力欲寐。平日里烦躁易怒，心烦失眠，咳痰不爽，舌红，苔黄腻，脉弦滑。夜晚发作应配,照海,申脉,内关,风池,中脘
A,患者，女，25岁，小便黄赤灼热，尿血鲜红，伴有心烦口渴，面赤口疮，夜寐不安，舌红脉数，宜选用,蒲黄配小蓟,当归配丹参,三七配丹参,五灵脂配蒲黄,川芎配蒲黄
D,“留得一分津液，便有一分生机”是谁所言(    ),吴鞠通,王孟英,薛生白,叶天士,陆子贤
E,下列不属于原文252、253、254条阳明三急下证的是(   ),大便难,发热汗多,腹满痛,身微热,谵语
E,“百病多由痰作祟”的原因是,痰可扰乱神明,痰可化风化火,痰阻碍气血运行,痰似风善行数变,痰可随气升降无处不到
B,知觉是人脑对客观事物,个别属性的反映,整体属性的反映,本质属性的反映,特殊属性的反映,发展属性的反映
D,擅长健脾祛痰的穴位是(   ),膻中,天突,下脘,丰隆,三阴交
E,攻下逐水法不适用于以下何症(   ),面目鲜泽,大便秘结,腹大，小便不利,脉沉绝,口渴
C,麻杏苡甘汤、麻黄加术汤、越婢汤证有相同的致病因素是(   ),风,寒,湿,瘀,热
B,下列各项，不属妊娠慎用药物的是,牛膝,白术,大黄,红花,附子
A,用于治疗肩周炎、胃痛、颈椎综合征、失眠等症的三棱针刺法是,挑刺法,点刺法,散刺法,刺络法,透刺法
A,患者王某，男性，85岁，平日神情淡漠，寡言少语，善忘，并伴有头晕耳鸣，智能低下，骨弱萎软，舌瘦质淡红，脉沉细尺弱。头针法可刺  ,顶颞前斜线,额中线,额旁一线,颞后线,颞前线
B,形成阴阳两虚的病机是,阴阳盛衰,阴阳互损,阴阳格拒,阴阳转化,阴阳亡失
C,治疗胃虚痰阻气逆证，宜选用,大柴胡汤,小柴胡汤,旋覆代赭汤,橘皮竹茹汤,吴茱萸汤
E,栝蒌瞿麦丸主治的是,肺胃热盛的消渴,肾气亏虚的消渴,湿热夹瘀的小便不利,脾肾亏虚的小便不利,上燥下寒的小便不利
B,春温，热伤真阴，心火亢盛病证，其治疗处方是,阿胶黄芩汤,黄连阿胶汤,黄芩汤,连梅汤,清营汤
B,生姜善治何种呕吐,胃热呕吐,胃寒呕吐,胃虚呕吐,虫积呕吐,食积呕吐
C,下述哪种情况少见实证,体质壮实,病情激剧,长期泻泄,新起暴病,外感六淫
D,髀部扭伤常选的穴位是,通经活络，消肿止痛,活血化瘀，消肿散结,肾俞、腰阳关、腰眼、委中,环跳、秩边、居髎、承扶,以上都不是
C,按头痛部位辨证归经，枕部痛属于,肝阳头痛,阳明头痛,太阳头痛,厥阴头痛,少阳头痛
A,针刺麻醉应选择的波形是(   ),密波,疏波,疏密波,断续波,锯齿波
C,下列经脉中，在眼区没有穴位的是(   ),足太阳经,足少阳经,手少阴经,手少阳经,手太阳经
A,在一定时间内注意保持在某项活动上的特性,注意的稳定性,注意的转移,注意的分配,注意的广度,注意的品质
A,砂仁的功效是,化湿行气，温中止泻，安胎,化湿，解暑，止呕,燥湿温中，除痰截疟,燥湿健脾，祛风湿,化湿行气，温中止呕
D,既能固精又能收敛止血的药物是,牡蛎,桑螵蛸,巴戟天,海螵蛸,金樱子
D,半夏泻心汤的药物组成是,大黄、黄芩、黄连、半夏、干姜、人参、大枣、炙甘草,大黄、黄芩、黄连、半夏、生姜、人参、大枣、炙甘草,黄芩、黄连、半夏、干姜、生姜、人参、大枣、炙甘草,黄芩、黄连、半夏、干姜、大枣、炙甘草、人参,黄芩、黄连、半夏、生姜、大枣、炙甘草
A,"巨阳之所以成为""诸阳之属""，是因其脉连(   )",风府,风池,迎香,人迎,大迎
E,天王补心丹和桑螵蛸散两方主治病证的病位均涉及,肝脾,肺肾,肝肾,心脾,心肾
C,具有补脾肺气，补血，生津功效的药物是,当归,枸杞子,党参,鸡血藤,苍术
E,商某，女，56岁。近2年来时常无明显诱因出现心慌心跳，善惊易恐，坐卧不安，不能自主，平素下肢易浮肿，形寒肢冷，时觉胸闷气短，舌淡，苔白滑，脉沉细。针灸基本处方选穴体现了,同名经配穴法,首尾配穴法,表里经配穴法,原络配穴法,俞募配穴法
E,中国医学道德规范不包括的是,谦和谨慎地对待同道,端正淳良的医疗作风,至精至微的治学态度,一心赴救的服务态度,忠于医业的献身精神
C,一个有经验的医生，能够从X线片上看到并不为一般人所觉察的病灶，这是知觉的,选择性,整体性,理解性,个别性,恒常性
D,具有通调水道功能的脏是,心,肝,脾,肺,肾
B,男子疝气，女子带下积聚为何经病证(   ),冲脉,任脉,督脉,带脉,阴维脉
E,根据本经补母泻子法治疗心经实证，应选的腧穴是(   ),少冲,中冲,劳宫,内关,神门
D,下列不属癌性空洞X线特点的是,偏心空洞,外壁可见分叶,壁厚超过1.5cm,薄壁空洞周围肺野可见纤维索条,空洞直径大于3cm
D,患者平素性急易怒，时有胁胀，近日胁胀加重，伴食欲不振，食后腹胀，便溏，舌苔薄白，脉弦。其证候是,脾气虚,脾阳虚,脾肾阳虚,肝脾不调,肝胃不和
C,流行性出血热早期出现低血压，最主要的原因是,继发细菌感染,小动脉痉挛,小血管通透性增加，大量血浆外渗,高热、汗出、呕吐所致血容量下降,严重腔道出血
A,温病病名首见于(    ),《内经》,《难经》,《伤寒论》,《诸病源候论》,《肘后备急方》
